 XAxis = ,-139.00, YAxis = ,-289.00, Heading = ,4.26, Degress = ,244.31
 XAxis = ,-141.00, YAxis = ,-309.00, Heading = ,4.28, Degress = ,245.47
 XAxis = ,-145.00, YAxis = ,-329.00, Heading = ,4.30, Degress = ,246.22
 XAxis = ,-202.00, YAxis = ,-342.00, Heading = ,4.18, Degress = ,239.43
 XAxis = ,-184.00, YAxis = ,-319.00, Heading = ,4.19, Degress = ,240.02
 XAxis = ,-137.00, YAxis = ,-311.00, Heading = ,4.30, Degress = ,246.23
 XAxis = ,-125.00, YAxis = ,-338.00, Heading = ,4.36, Degress = ,249.70
 XAxis = ,-82.00, YAxis = ,-293.00, Heading = ,4.44, Degress = ,254.37
 XAxis = ,-167.00, YAxis = ,-327.00, Heading = ,4.24, Degress = ,242.95
 XAxis = ,-168.00, YAxis = ,-290.00, Heading = ,4.19, Degress = ,239.92
 XAxis = ,-124.00, YAxis = ,-308.00, Heading = ,4.33, Degress = ,248.07
 XAxis = ,-127.00, YAxis = ,-324.00, Heading = ,4.34, Degress = ,248.60
 XAxis = ,-115.00, YAxis = ,-293.00, Heading = ,4.34, Degress = ,248.57
 XAxis = ,-181.00, YAxis = ,-299.00, Heading = ,4.17, Degress = ,238.81
 XAxis = ,-177.00, YAxis = ,-281.00, Heading = ,4.15, Degress = ,237.79
 XAxis = ,-131.00, YAxis = ,-319.00, Heading = ,4.32, Degress = ,247.67
 XAxis = ,-148.00, YAxis = ,-324.00, Heading = ,4.28, Degress = ,245.45
 XAxis = ,-163.00, YAxis = ,-360.00, Heading = ,4.29, Degress = ,245.64
 XAxis = ,-184.00, YAxis = ,-300.00, Heading = ,4.16, Degress = ,238.48
 XAxis = ,-163.00, YAxis = ,-303.00, Heading = ,4.22, Degress = ,241.72
 XAxis = ,-125.00, YAxis = ,-308.00, Heading = ,4.33, Degress = ,247.91
 XAxis = ,-189.00, YAxis = ,-269.00, Heading = ,4.10, Degress = ,234.91
 XAxis = ,-166.00, YAxis = ,-300.00, Heading = ,4.21, Degress = ,241.04
 XAxis = ,-103.00, YAxis = ,-268.00, Heading = ,4.35, Degress = ,248.98
