X_Axis,Y_Axis,Z_Axis
-380,-50,212476
-410,-1390,30716
-460,-1970,30716
-610,-1490,30716
-710,-1220,30716
-610,-1710,30716
-680,-1100,30716
-410,-1710,30716
-510,-1490,30712
-360,-1000,30716
-390,-1442,30720
-810,-1540,30716
-310,-1250,30716
-480,-1460,30716
-470,-1405,30720
-680,-1710,30716
-610,-1200,30716
-560,-1510,30716
-674,-1424,30720
-480,-1790,30716
-560,-1310,30716
-510,-1340,30712
-568,-1420,30720
-450,-1458,30720
-546,-1360,30720
-780,-1310,30716
-510,-1540,30716
-854,-1226,30720
-595,-1440,30720
-535,-1405,30720
-280,-1410,30716
-430,-1200,30716
-724,-1616,30720
-354,-1430,30720
-610,-1220,30716
-530,-1510,30716
-580,-1970,30712
-230,-950,30716
-660,-1900,30716
-476,-1450,30720
-480,-1220,30716
-430,-1610,30716
-860,-1340,30716
-530,-1660,30716
-485,-1400,30720
-580,-1410,30716
-430,-1510,30716
-480,-1900,30716
-460,-1440,30716
-530,-1504,30720
-330,-1490,30716
-160,-1690,30720
-630,-1440,30716
-460,-1390,30716
-180,-1200,30716
-480,-1410,30716
-460,-1740,30716
-750,-1328,30720
-580,-1340,30716
-690,-1508,30720
-310,-1660,30716
-539,-1576,30720
-530,-1560,30716
-530,-1760,30716
-680,-1920,30716
-810,-1560,30716
-660,-1360,30716
-360,-1390,30716
-410,-1220,30716
-630,-1150,30716
-650,-1530,30720
-330,-1310,30716
-860,-1390,30716
-560,-1660,30716
-730,-1460,30716
-808,-1224,30720
-830,-1540,30716
-910,-1170,30716
-880,-1070,30716
-360,-1560,30716
-800,-1402,30720
-680,-1360,30716
-430,-1610,30716
-410,-1610,30716
-380,-1310,30716
-730,-1640,30716
-785,-1400,30720
-710,-1100,30716
-660,-1680,30720
-630,-1410,30716
-380,-1340,30716
-930,-1000,30716
-1050,-2100,30716
-640,-1360,30720
-160,-1610,30716
-430,-1820,30716
-517,-1597,30720
-510,-1510,30716
-98,-1505,30720
-260,-1150,30716
-466,-1138,30720
-430,-1410,30716
-715,-1250,30720
-650,-1408,30720
-480,-970,30716
-610,-1250,30720
-330,-1440,30716
-292,-1754,30720
-560,-1070,30716
-310,-1660,30716
-460,-1410,30720
-610,-1460,30716
-455,-1511,30720
-630,-1490,30716
-480,-1640,30716
-310,-1170,30716
-660,-1760,30716
-280,-1710,30716
-560,-1250,30716
-430,-1440,30716
-530,-1870,30716
