X_Axis,Y_Axis,Heading
760,1650,1.14
810,1680,1.12
785,1650,1.13
750,1650,1.14
745,1722,1.16
740,1660,1.15
725,1692,1.17
760,1692,1.15
785,1630,1.12
740,1702,1.16
860,1665,1.09
810,1645,1.11
735,1702,1.16
755,1707,1.15
720,1670,1.16
700,1615,1.16
770,1655,1.14
785,1645,1.13
770,1687,1.14
740,1680,1.16
770,1665,1.14
730,1635,1.15
775,1702,1.14
795,1610,1.11
755,1722,1.16
775,1620,1.12
795,1665,1.13
725,1670,1.16
770,1645,1.13
735,1620,1.14
790,1680,1.13
775,1727,1.15
735,1680,1.16
745,1630,1.14
710,1610,1.16
765,1687,1.15
745,1610,1.14
785,1635,1.12
750,1640,1.14
810,1670,1.12
765,1655,1.14
835,1757,1.13
730,1660,1.16
760,1640,1.14
825,1707,1.12
715,1670,1.17
775,1625,1.13
745,1640,1.14
750,1670,1.15
660,1645,1.19
775,1757,1.16
750,1675,1.15
750,1635,1.14
740,1655,1.15
745,1670,1.15
735,1645,1.15
750,1635,1.14
760,1670,1.14
755,1635,1.14
780,1660,1.13
790,1630,1.12
745,1660,1.15
750,1630,1.14
660,1687,1.2
790,1675,1.13
700,1665,1.17
765,1702,1.15
770,1697,1.14
825,1665,1.11
760,1635,1.14
795,1655,1.12
825,1660,1.11
785,1650,1.13
800,1615,1.11
760,1717,1.15
805,1605,1.11
780,1717,1.14
845,1742,1.12
775,1655,1.13
805,1625,1.11
730,1687,1.16
820,1685,1.12
820,1645,1.11
785,1670,1.13
840,1660,1.1
830,1640,1.1
830,1655,1.11
870,1630,1.08
820,1722,1.13
830,1600,1.09
750,1645,1.14
855,1692,1.1
825,1650,1.11
840,1675,1.11
840,1655,1.1
830,1645,1.1
720,1665,1.16
805,1732,1.14
840,1635,1.1
880,1650,1.08
765,1650,1.14
885,1615,1.07
840,1670,1.1
865,1655,1.09
865,1620,1.08
785,1787,1.16
835,1772,1.13
790,1650,1.12
855,1782,1.12
820,1655,1.11
865,1685,1.1
795,1675,1.13
785,1655,1.13
845,1675,1.1
850,1640,1.09
865,1680,1.1
850,1692,1.11
845,1675,1.1
860,1702,1.1
810,1640,1.11
820,1620,1.1
850,1620,1.09
845,1702,1.11
760,1707,1.15
825,1620,1.1
865,1680,1.1
815,1680,1.12
845,1655,1.1
795,1680,1.13
790,1650,1.12
850,1707,1.11
845,1650,1.1
850,1620,1.09
755,1687,1.15
785,1670,1.13
795,1680,1.13
840,1660,1.1
855,1645,1.09
865,1727,1.11
815,1692,1.12
805,1660,1.12
800,1650,1.12
890,1685,1.08
875,1680,1.09
825,1625,1.1
845,1645,1.1
740,1650,1.15
795,1620,1.11
830,1702,1.12
785,1680,1.13
830,1687,1.11
810,1717,1.13
835,1680,1.11
800,1702,1.13
845,1692,1.11
845,1732,1.12
810,1712,1.13
835,1625,1.1
845,1650,1.1
875,1665,1.09
820,1697,1.12
815,1630,1.11
845,1685,1.11
800,1665,1.12
825,1675,1.11
845,1660,1.1
800,1670,1.12
850,1687,1.1
800,1645,1.12
795,1660,1.12
820,1680,1.12
775,1680,1.14
855,1732,1.11
780,1737,1.15
820,1722,1.13
775,1675,1.14
845,1675,1.1
785,1625,1.12
800,1687,1.13
815,1712,1.13
870,1650,1.09
820,1687,1.12
840,1722,1.12
805,1665,1.12
845,1670,1.1
850,1687,1.1
815,1675,1.12
855,1645,1.09
