X_Axis,Y_Axis,Heading
412,1352,1.28
542,1412,1.2
482,1347,1.23
357,1337,1.31
487,1357,1.23
442,1432,1.27
527,1337,1.2
387,1417,1.3
382,1347,1.29
472,1427,1.25
372,1347,1.3
557,1357,1.18
602,1357,1.15
477,1332,1.23
412,1422,1.29
382,1372,1.3
442,1342,1.25
537,1382,1.2
472,1432,1.25
432,1432,1.28
492,1442,1.24
547,1357,1.19
517,1427,1.22
497,1402,1.23
492,1417,1.24
417,1297,1.26
562,1472,1.21
512,1407,1.22
412,1422,1.29
392,1447,1.31
412,1255,1.25
402,1272,1.26
442,1505,1.29
427,1490,1.29
402,1255,1.26
352,1495,1.34
537,1382,1.2
392,1372,1.29
572,1480,1.2
507,1387,1.22
502,1495,1.25
572,1282,1.15
327,1437,1.35
482,1447,1.25
517,1352,1.21
502,1457,1.24
522,1442,1.22
447,1387,1.26
517,1427,1.22
622,1397,1.15
482,1412,1.24
612,1372,1.15
382,1407,1.31
412,1392,1.28
432,1442,1.28
407,1510,1.31
437,1427,1.27
522,1372,1.21
452,1472,1.27
477,1480,1.26
422,1332,1.26
472,1462,1.26
602,1392,1.16
472,1462,1.26
527,1555,1.24
442,1357,1.26
512,1352,1.21
337,1322,1.32
437,1407,1.27
417,1382,1.28
437,1480,1.28
457,1530,1.28
557,1485,1.21
457,1472,1.27
502,1377,1.22
497,1515,1.25
447,1397,1.26
532,1457,1.22
457,1292,1.23
522,1457,1.23
382,1467,1.32
547,1475,1.22
650,1462,1.15
512,1457,1.23
357,1467,1.33
377,1402,1.31
442,1412,1.27
477,1437,1.25
337,1457,1.34
602,1515,1.19
417,1392,1.28
362,1437,1.32
442,1485,1.28
457,1510,1.28
387,1347,1.29
497,1595,1.27
362,1500,1.33
517,1515,1.24
487,1447,1.25
407,1530,1.31
547,1462,1.21
562,1407,1.19
427,1520,1.3
507,1490,1.24
587,1427,1.18
572,1480,1.2
462,1417,1.26
502,1452,1.24
552,1467,1.21
322,1472,1.36
472,1590,1.28
512,1480,1.24
477,1422,1.25
497,1442,1.24
507,1472,1.24
547,1485,1.22
547,1555,1.23
452,1530,1.28
367,1447,1.32
432,1412,1.27
502,1485,1.24
562,1437,1.2
427,1407,1.28
522,1620,1.26
417,1452,1.29
582,1550,1.21
547,1422,1.2
507,1412,1.23
517,1545,1.25
527,1580,1.25
547,1595,1.24
562,1555,1.22
522,1495,1.23
532,1480,1.23
402,1495,1.31
452,1665,1.31
487,1525,1.26
482,1545,1.27
382,1570,1.33
497,1475,1.25
467,1565,1.28
502,1540,1.26
457,1560,1.29
482,1417,1.24
532,1620,1.25
557,1500,1.22
502,1515,1.25
377,1412,1.31
567,1565,1.22
507,1580,1.26
532,1570,1.24
317,1495,1.36
567,1462,1.2
472,1505,1.27
372,1525,1.33
567,1590,1.23
607,1510,1.19
552,1570,1.23
582,1620,1.23
507,1480,1.24
537,1530,1.23
302,1530,1.38
482,1605,1.28
512,1457,1.23
542,1545,1.23
487,1505,1.26
502,1555,1.26
537,1565,1.24
512,1620,1.26
622,1525,1.18
417,1550,1.31
650,1580,1.18
597,1565,1.21
347,1520,1.35
557,1515,1.22
537,1595,1.25
522,1625,1.26
532,1500,1.23
612,1505,1.18
497,1620,1.27
487,1620,1.28
457,1475,1.27
512,1675,1.27
552,1625,1.24
557,1580,1.23
572,1585,1.22
552,1585,1.24
572,1615,1.23
592,1660,1.23
612,1485,1.18
507,1530,1.25
567,1635,1.24
547,1500,1.22
